WL(nm),WV2 Pan,WV2 Coastal Blue,WV2 Blue,WV2 Green,WV2 Yellow,WV2 Red,WV2 RedEdge,WV2 NIR1,WV2 NIR2
910,0.258,0.0145,0.0178,0.0061,0.0033,0.004,0.018,2.6246,841.298
912.5,0.2735,0.0112,0.0187,0.0069,0.0028,0.0035,0.019,1.8086,827.257
915,0.2876,0.0095,0.0184,0.0062,0.0025,0.0035,0.0157,1.3063,808.18
917.5,0.2828,0.0074,0.0172,0.0066,0.0021,0.004,0.0145,1.0328,794.005
920,0.2762,0.0062,0.0158,0.0066,0.002,0.0027,0.0127,0.9172,774.377
922.5,0.2753,0.0047,0.0142,0.0058,0.0017,0.0031,0.0102,0.8912,760.282
925,0.2731,0.004,0.0148,0.006,0.0018,0.0032,0.0081,0.7983,746.906
927.5,0.2568,0.004,0.0135,0.0054,0.0018,0.0024,0.0062,0.7457,725.848
930,0.2422,0.003,0.013,0.0054,0.001,0.0031,0.0045,0.7272,708.967
932.5,0.2392,0.0033,0.0131,0.0049,0.0014,0.0027,0.0039,0.7833,689.184
935,0.2343,0.0025,0.0118,0.004,0.0013,0.0021,0.0032,0.7011,661.72
937.5,0.2234,0.003,0.0109,0.0036,0.0013,0.0017,0.0025,0.6553,640.63
940,0.2135,0.003,0.0106,0.0035,0.0007,0.0017,0.002,0.6028,620.929
942.5,0.2157,0.0034,0.0099,0.0035,0.0008,0.0016,0.0016,0.5579,596.457
945,0.2186,0.0036,0.0088,0.0029,0.0009,0.0013,0.0015,0.2812,574.685
947.5,0.2048,0.0042,0.0079,0.0026,0.0009,0.0011,0.0011,0.2742,551.871
950,0.1911,0.0041,0.007,0.0023,0.0008,0.0012,0.001,0.0044,530.905
952.5,0.1799,0.005,0.0061,0.0021,0.0008,0.001,0.001,0.0032,511.63
955,0.169,0.0054,0.0064,0.0029,0.0009,0.0013,0.0008,0.0029,493.667
957.5,0.1771,0.006,0.0069,0.0024,0.0009,0.001,0.0007,0.0022,474.118
960,0.1832,0.0054,0.0074,0.0022,0.0006,0.0011,0.0008,0.002,454.311
962.5,0.1676,0.0064,0.009,0.0022,0.001,0.0009,0.0006,0.0015,437.766
965,0.1513,0.0054,0.0105,0.002,0.0009,0.0008,0.0007,0.0011,421.449
